Rk	Team	Season Yd/G	Season Pt/G	Playoff Yd/G	Playoff Pt/G	Playoff Games	Season Games	Total Games	Yds/G	Pts/G
1	Dallas Cowboys	415.3	27	0	0	0	16	16	415.3	27
2	Minnesota Vikings	397.6	30	0	0	0	16	16	397.6	30
3	Chicago Bears	394.6	29.9	0	0	0	16	16	394.6	29.9
4	Philadelphia Eagles	394	23.9	33	24	1	16	17	372.7647058824	23.9058823529
5	Atlanta Falcons	379.4	27.7	0	0	0	16	16	379.4	27.7
5	Jacksonville Jaguars	379.4	28.1	0	0	0	16	16	379.4	28.1
7	New England Patriots	373.1	21.1	25	43	1	16	17	352.6235294118	22.3882352941
8	Green Bay Packers	372.2	26.8	26	20	1	16	17	351.8352941176	26.4
9	Kansas City Chiefs	367.8	19.1	46	44	1	16	17	348.8705882353	20.5647058824
10	San Diego Chargers	366.5	21.8	43	22	2	16	18	330.5555555556	21.8222222222
11	Oakland Raiders	363.7	28.3	0	0	0	16	16	363.7	28.3
12	Miami Dolphins	359.4	20.9	0	0	0	16	16	359.4	20.9
13	Indianapolis Colts	357.1	21	86	33.5	2	16	18	326.9777777778	22.3888888889
14	Denver Broncos	356	24.9	36	24	1	16	17	337.1764705882	24.8470588235
15	Washington Redskins	354.1	29.9	0	0	0	16	16	354.1	29.9
16	Tampa Bay Buccaneers	348	24.3	0	0	0	16	16	348	24.3
17	Detroit Lions	346.6	23.5	0	0	0	16	16	346.6	23.5
18	St. Louis Rams	345	22.8	0	0	0	16	16	345	22.8
19	Tennessee Titans	337.9	23.8	0	0	0	16	16	337.9	23.8
20	Pittsburgh Steelers	337.2	23.1	0	0	0	16	16	337.2	23.1
21	Baltimore Ravens	335.5	22	0	0	0	16	16	335.5	22
22	New York Jets	334.9	24.2	0	0	0	16	16	334.9	24.2
23	Buffalo Bills	333.4	24.2	0	0	0	16	16	333.4	24.2
24	Cleveland Browns	332.4	25.4	0	0	0	16	16	332.4	25.4
25	New York Giants	332.2	23.9	0	0	0	16	16	332.2	23.9
26	Houston Texans	317.6	26.8	0	0	0	16	16	317.6	26.8
27	Arizona Cardinals	317.4	20.2	0	0	0	16	16	317.4	20.2
28	San Francisco 49ers	316.9	17	60	23	2	16	18	288.3555555556	17.6666666667
29	New Orleans Saints	305.7	19	73	20.5	2	16	18	279.8444444444	19.1666666667
30	Cincinnati Bengals	305.5	19.1	51	10	1	16	17	290.5294117647	18.5647058824
31	Carolina Panthers	301.2	15.1	25	10	1	16	17	284.9529411765	14.8
32	Seattle Seahawks	273.6	14.4	18	23	1	16	17	258.5647058824	14.9058823529
